district,title,community,floor,year,bedroom,living_room,area,price,unit_price
雨花,井湾子成熟商圈，居家装修三房，95平45万。,中建嘉苑,高楼层,,3,2,95.25,44.5,4672
雨花,保利二期南北双阳台得房率高密码看房环境优美人车分流,保利大都汇,低楼层,,4,2,124.59,178,14287
雨花,长房大厦人民路40平小两房采光好带天然气产权清晰中间,左岸右岸,高楼层,2009,1,1,39.64,30.8,7770
雨花,半山壹号，居家三房，双地铁口物业，公园项目,半山壹号,低楼层,,3,2,98.99,146.8,14830
雨花,碧桂园南城首府三房业主诚心卖就是好的宣传标题,碧桂园南城首府,中楼层,2019,3,2,119.59,107,8948
雨花,此房带车位 户型周正 装修温馨 直接拎包入住 中间楼层,菁华源,中楼层,2008,3,2,115.84,112.8,9738
雨花,华盛视野很赞两房 中间楼层 精装修,华盛世纪新城,高楼层,2009,2,2,92.01,92,9999
雨花,正规品字形的二房 采光充足 房屋配套好,电业局宿舍,高楼层,,2,1,59.56,45,7556
雨花,21年小区户型周正南北双阳台纯毛坯,长房东旭国际,高楼层,,4,2,143.34,203,14163
雨花,南北正通透 户型方正 中间楼层 采光好,明昇壹城,高楼层,2018,3,2,129.43,228,17616
雨花,2019年底交房，精装修2居室，硬装保养好，砂子塘+南雅,万科魅力之城,低楼层,2019,2,2,63.48,78,12288
雨花,满五唯一，业主在北京定了房子，已委托钥匙，急卖！,明昇壹城,中楼层,2020,3,2,126.14,198,15697
雨花,正规一室一厅带小区环境带燃气，正地铁口小区,锦湘国际星城三期,中楼层,2009,1,1,41.28,40,9690
雨花,万科四期精装两房地铁木桥雨花区政府,万科金域华府,中楼层,,2,1,76.88,100,13008
雨花,满五唯一！楼层好，视野宽阔，南向采光足，交通便利,上河国际F区,高楼层,2007,1,1,60.48,42,6945
雨花,精装修大四房 小区中间位置 不临街 带入户花园 好楼层,新城新世界一期,中楼层,,4,2,160.5,178,11091
雨花,房东自住装修 很诚心出售 价格实惠 预约看房,嘉宇中央,低楼层,2013,3,2,121.75,130,10678
雨花,万科的物业，70年产权的房子，小区有环境绿化美丽,万科魅力之城,高楼层,2013,1,1,46.54,32,6876
雨花,南二环已内 地铁口 配套实施齐全视野开阔，采光充足,新芙蓉之都佳苑,低楼层,2008,2,2,94.01,90,9574
雨花,枫树山雅礼 省电力院 近地铁 南北通透 明厨明卫阳光房,省电力院宿舍,高楼层,,2,1,58.56,62.8,10725
雨花,5房周正毛坯，业主诚心出售，视野1000米,长房平和墅观山月,中楼层,,5,2,167.22,185,11064
雨花,总价低 中间楼层 房东北京发展 诚心出售 随时可以看房,茶园坡社区,中楼层,2006,2,1,57.3,37,6458
雨花,小高层闹中取静两梯三户 地铁4号线赤岗岭交通便利,丽星景园,中楼层,2006,3,2,128.31,121.6,9478
雨花,德思勤商圈2015年次新小区，居家精装三房，拎包入住,兴隆景苑,高楼层,,3,2,131.71,159.8,12133
雨花,16年次新小区 抬地势采光好 视野开阔,南城印象,低楼层,2016,3,2,89.22,95,10648
雨花,天际岭森林公园 自住精装三房 满五唯一诚心出售,翡翠云天,低楼层,,3,2,122.61,125,10195
雨花,阳光城愉景苑 3室2厅 南,阳光城愉景苑,低楼层,,3,2,100.0,115,11500
雨花,通透2房采光好楼栋位置安静视野好,嘉盛华庭,高楼层,2008,2,2,92.71,95,10248
雨花,明厨明卫，次新小区自住精装小两房，燃气入户采光好,芒果雅苑,中楼层,2014,2,1,46.73,52,11128
雨花,沙湾公园 高铁南站 双地铁 山姆会员商场 自住装修,半山壹号,高楼层,2017,2,2,93.82,122.8,13089
雨花,居家精装，9.9成新，品牌家电家具，配套齐全,中建嘉和城凤凰台,低楼层,,4,2,125.79,158,12561
雨花,左家塘 鸿景苑 3号地铁口 厨房有天然气 满五唯一,鸿景苑,高楼层,2002,1,1,52.3,45,8605
雨花,正地铁口小区 高楼层看浏阳河景 公摊小 拎包入住,双水湾,高楼层,2011,4,2,126.78,160,12621
雨花,翡翠云天三房两卫拎包入住 诚心卖 随时看房 五号线,翡翠云天,低楼层,2011,3,2,99.42,88,8852
雨花,装修很好，楼层很好，有物业有门卫，有停车位的,桔园小区,低楼层,,2,2,84.47,58,6867
雨花,东塘付近上班族 近枫树山侯家塘配套齐全闹中取静,湖南省水电设计院宿舍,中楼层,,2,1,71.04,100,14077
雨花,中江佳境天城，实用温馨一房，树木岭地铁口，精致装修,中江佳境天成,高楼层,2010,1,1,38.8,44,11341
雨花,路桥社区 2室1厅 南,路桥社区,中楼层,,2,1,62.81,44.8,7133
雨花,德奥悦东方 4室2厅 南 北,德奥悦东方,高楼层,,4,2,130.06,206,15839
雨花,次新小区，精装修拎包入住，中高楼层，视野开阔,丰园城丰祥苑,高楼层,,3,2,98.0,96,9796
雨花,差不多没住过 保养的好 唯一的房子，地铁近,万科金域华府,高楼层,2013,3,2,91.15,125,13714
雨花,砂子塘，二环内雨花亭，有燃气，诚心卖,云鼎公馆,高楼层,2012,1,1,32.01,39.8,12434
雨花,总价低，读书近，楼层好，户型好，安静，装修保养好,景环小区,中楼层,2009,2,2,93.59,50,5343
雨花,天晟海拔东方精装大三房，带地暖，拎包入住，生活便利,天晟海拔东方,低楼层,2011,3,2,130.69,145,11095
雨花,阳光城尚东湾蓝莓苑 4室2厅 南,阳光城尚东湾蓝莓苑,低楼层,,4,2,147.89,166,11225
雨花,2梯2户可看浏阳河万科物业次新小区人车分流视野好边户,阳光城愉景苑,高楼层,,4,2,181.35,206,11360
雨花,莲湖汽车饰品城 德思勤商圈 大二房 交通便利 配套成熟,莲湖汽车饰品城小区,高楼层,2008,2,2,83.45,62,7430
雨花,次新小区 满五唯一 中间楼层 采光好 自住精装全套家电,叠彩兰亭,低楼层,,3,2,76.69,79.8,10406
雨花,南北通3室2卫 装修好 小区新绿化好 近地铁 长郡雨外,卓越蔚蓝城邦,低楼层,2018,3,2,111.62,105,9407
雨花,汽车南站地铁口 带天然气 中间楼层,红星嘉和苑,高楼层,,1,1,41.26,43.8,10616
雨花,轻奢风，装修花了40多W。中间楼层视野好，,丽发新城三期,高楼层,,3,2,123.58,135,10925
雨花,中间楼层，装修保养很好，拎包入住，停车方便,赤岗苑,中楼层,,3,2,131.38,78,5937
雨花,美洲故事 1室1厅 西北,美洲故事,低楼层,2015,1,1,50.4,45,8929
雨花,此房唯一，诚意出售，已签署置换协议,德奥悦东方,高楼层,,4,2,140.41,200,14244
雨花,下楼就是商3业，中间楼层，全新装修带车位,中建嘉和城,中楼层,,3,2,109.27,120,10982
雨花,业主自住房 业主诚意出售 随时可以看房,雅致名园,中楼层,2011,4,2,162.07,288,17771
雨花,毛竹塘地铁口 清水毛坯 中间楼层,恒生碧水龙庭,高楼层,,4,2,111.76,102,9127
雨花,精装自住9成新拎包入住，房子保养好,阳光城尚东湾蓝莓苑,中楼层,,3,2,96.28,122,12672
雨花,九分好房 自住装修 满五唯一 中间楼层,博长山水香颐,中楼层,2014,3,2,85.6,80,9346
雨花,2020年次新小区 南向周正三房 业主唯一住房 随时看房,长房东旭国际,中楼层,,3,2,108.28,146,13484
雨花,房子户型好，业主诚心出售，满五唯一,旭辉香樟公馆,低楼层,2016,3,2,96.31,92,9553
雨花,雨花亭正十字路口 大四房 总价合适 户型周正,阳光小镇,中楼层,2004,4,2,132.73,88,6631
雨花,万博汇二期 精品房 价格实惠 陪读好房,万博汇名邸二期,高楼层,2012,1,1,42.04,46,10942
雨花,京武浪琴山一期 3室2厅 南,京武浪琴山一期,中楼层,2016,3,2,122.0,252,20656
雨花,叠彩兰亭 2室1厅 南,叠彩兰亭,中楼层,,2,1,50.59,62,12256
